Preset,CRF,FileSize,Bitrate,Speed
ultrafast,17,597.27,8400.15,10.5
ultrafast,18,538.52,7573.81,13.9
ultrafast,19,484.65,6816.23,14.6
ultrafast,20,436.61,6140.52,15.8
ultrafast,21,392.87,5525.34,15.8
ultrafast,22,352.75,4961.21,16.8
ultrafast,23,316.36,4449.38,16.4
ultrafast,24,283.34,3984.99,17.3
ultrafast,25,252.75,3554.74,17.5
ultrafast,26,225.22,3167.63,17.4
ultrafast,27,200.07,2813.81,17.9
ultrafast,28,177.56,2497.27,16.9
superfast,17,362.09,5092.50,9.95
superfast,18,317.11,4459.94,9.71
superfast,19,278.21,3912.80,9.55
superfast,20,244.45,3438.00,10.6
superfast,21,215.44,3030.04,11.2
superfast,22,190.42,2678.08,11.1
superfast,23,168.55,2370.54,11.4
superfast,24,149.34,2100.45,11.1
superfast,25,132.31,1860.90,12.3
superfast,26,117.00,1645.50,12.1
superfast,27,103.33,1453.24,11.2
superfast,28,91.09,1281.20,10.8
veryfast,17,286.34,4027.19,6.2
veryfast,18,253.20,3561.07,6.08
veryfast,19,224.59,3158.73,4.97
veryfast,20,199.72,2808.96,6.15
veryfast,21,178.03,2503.95,5.58
veryfast,22,159.00,2236.20,5.31
veryfast,23,141.85,1995.11,6.05
veryfast,24,126.44,1778.31,7.29
veryfast,25,112.48,1582.01,5.66
veryfast,26,99.77,1403.26,7.51
veryfast,27,88.31,1242.01,6.62
veryfast,28,78.03,1097.52,7.51
faster,17,255.42,3592.25,4.05
faster,18,229.38,3226.08,4.62
faster,19,206.69,2906.94,4.88
faster,20,186.83,2627.67,5.01
faster,21,169.24,2380.20,4.97
faster,22,153.33,2156.51,5.41
faster,23,138.57,1948.96,5.72
faster,24,124.75,1754.58,5.68
faster,25,111.95,1574.49,6.12
faster,26,100.12,1408.21,5.69
faster,27,89.33,1256.35,6.26
faster,28,79.53,1118.61,6.63
fast,17,241.13,3391.28,2.95
fast,18,216.99,3051.81,3.04
fast,19,196.76,2767.32,3.1
fast,20,179.52,2524.87,3.28
fast,21,164.41,2312.30,3.36
fast,22,150.55,2117.41,3.38
fast,23,137.40,1932.47,3.23
fast,24,124.90,1756.64,3.65
fast,25,113.04,1589.92,3.75
fast,26,101.74,1430.94,3.97
fast,27,91.02,1280.13,4.25
fast,28,81.06,1140.12,4.3
medium,17,236.23,3322.42,2.4
medium,18,213.09,2996.97,2.56
medium,19,193.71,2724.48,2.52
medium,20,177.16,2491.65,2.71
medium,21,162.50,2285.48,2.78
medium,22,148.97,2095.19,2.81
medium,23,136.10,1914.18,2.98
medium,24,123.77,1740.71,3.03
medium,25,112.02,1575.52,3.03
medium,26,100.77,1417.29,3.37
medium,27,90.11,1267.36,2.55
medium,28,80.24,1128.57,3.46
slow,17,227.92,3205.51,1.39
slow,18,205.81,2894.62,1.46
slow,19,187.51,2637.16,1.56
slow,20,171.95,2418.43,1.53
slow,21,158.18,2224.70,1.58
slow,22,145.21,2042.31,1.68
slow,23,132.63,1865.42,1.81
slow,24,120.49,1694.67,1.91
slow,25,108.88,1531.36,1.95
slow,26,97.72,1374.44,1.99
slow,27,87.22,1226.68,2.13
slow,28,77.55,1090.74,2.15
slower,17,229.12,3222.35,0.94
slower,18,206.72,2907.39,1.06
slower,19,188.18,2646.70,1.03
slower,20,172.45,2425.44,1.09
slower,21,158.54,2229.71,1.14
slower,22,145.50,2046.41,1.23
slower,23,132.92,1869.45,1.19
slower,24,120.75,1698.24,1.25
slower,25,109.08,1534.12,1.35
slower,26,97.85,1376.18,1.4
slower,27,87.28,1227.54,1.47
slower,28,77.57,1091.05,1.46
veryslow,17,200.91,2825.67,0.504
veryslow,18,183.04,2574.37,0.524
veryslow,19,168.39,2368.27,0.542
veryslow,20,155.90,2192.69,0.56
veryslow,21,144.56,2033.13,0.546
veryslow,22,133.81,1881.99,0.614
veryslow,23,123.27,1733.73,0.727
veryslow,24,112.65,1584.40,0.705
veryslow,25,101.95,1433.88,0.774
veryslow,26,91.35,1284.82,0.724
veryslow,27,81.29,1143.28,0.73
veryslow,28,72.15,1014.81,0.792
